ID, Name, Form, CategoryID, SubcategoryID, CouseID, Group, Level, Unit, Start, End
T1D03, 英語音声学, T, 9, 3, 1D, C, 8, 2, 2000, 2100
T1D04, 英語史, T, 9, 3, 1D, B, 8, 2, 2000, 2100
T1D05, AW1, T, 9, 3, 1D, A, 5, 2, 2000, 2100
T1D06, AW2, T, 9, 3, 1D, F, 8, 4, 2000, 2100
T1D07, 現代英文学, T, 9, 3, 1D, C, 6, 2, 2000, 2100
T1D08, 英文学特殊, T, 9, 3, 1D, E, 5, 2, 2000, 2100
T1D09, 中世英文学史, T, 9, 3, 1D, E, 5, 2, 2000, 2100
T1D10, 近世英文学史, T, 9, 3, 1D, F, 3, 2, 2000, 2100
T1D11, 英文学研究1, T, 9, 3, 1D, A, 5, 2, 2000, 2100
T1D12, 英文学研究2, T, 9, 3, 1D, E, 8, 2, 2000, 2100
T1D13, 英文学研究3, T, 9, 3, 1D, A, 7, 2, 2000, 2100
T1D14, 米文学, T, 9, 3, 1D, D, 6, 2, 2000, 2100
T1D15, 米文学研究1, T, 9, 3, 1D, D, 7, 2, 2000, 2100
T1D16, 米文学研究2, T, 9, 3, 1D, F, 7, 2, 2000, 2100
T1D17, SS研究, T, 9, 3, 1D, C, 7, 2, 2000, 2100
M1D01, E-英語史, M/B, 9, 3, 1D, A, 1, 2, 2014, 2100
M1D02, E-SS研究, M/B, 9, 3, 1D, C, 1, 2, 2022, 2100
S1D01, 英語学, S, 9, 3, 1D, , 3, 2, , 
S1D02, 英語史, S, 9, 3, 1D, , 3, 2, , 
S1D03, 日米比較文化論, S, 9, 3, 1D, , 3, 2, , 
S1D04, イギリス文学, S, 9, 3, 1D, , 3, 2, , 
S1D05, SS研究, S, 9, 3, 1D, , 3, 2, , 
S1D06, 英米散文研究, S, 9, 3, 1D, , 3, 2, , 
S1D07, 英米戯曲研究, S, 9, 3, 1D, , 3, 2, , 
S1D08, アメリカ文学, S, 9, 3, 1D, , 3, 2, , 
T1E01, 近代独小説, T, 9, 3, 1E, F, 6, 2, 2000, 2100
T1E02, 日米比較(総), T, 9, 3, 1E, D, 6, 2, 2000, 2100
T1E03, 近代独演劇, T, 9, 3, 1E, D, 7, 2, 2000, 2100
S1E01, ドイツ語学文学, S, 9, 3, 1E, , 3, 2, , 
S1E02, ドイツ文学研究, S, 9, 3, 1E, , 3, 2, , 
S1E03, ドイツ文学史, S, 9, 3, 1E, , 3, 2, , 
T1F01, 仏文学概説, T, 9, 3, 1F, A, 3, 3, 2000, 2100
T1F02, 仏文学史1, T, 9, 3, 1F, B, 3, 4, 2000, 2100
T1F03, 仏文学史2, T, 9, 3, 1F, F, 5, 4, 2000, 2100
M1F01, E-仏文学, M/B, 9, 3, 1F, A, 1, 2, 2022, 2100
S1F01, フランス文学, S, 9, 3, 1F, , 3, 2, , 
S1F02, フランス文学史, S, 9, 3, 1F, , 3, 2, , 
S1F03, フランス語学, S, 9, 3, 1F, , 3, 2, , 
T2101, ミクロ経済(E), T, 10, 5, 21, A, 3, 2, 2000, 2100
T2102, マクロ経済(E), T, 10, 5, 21, B, 3, 2, 2000, 2100
T2103, 国民所得論, T, 10, 6, 21, D, 5, 2, 2000, 2100
T2104, 計量経済学, T, 10, 6, 21, C, 7, 2, 2000, 2100
T2105, インセンティブ, T, 10, 6, 21, F, 5, 4, 2022, 2100
T2106, ゲーム理論, T, 10, 6, 21, E, 5, 3, 2024, 2100
T2107, マクロ中級, T, 10, 6, 21, D, 6, 4, 2022, 2100
T2108, ミクロ経済(J), T, 12, 7, 21, A, 7, 2, 2000, 2100
T2109, マクロ経済(J), T, 12, 7, 21, B, 7, 2, 2000, 2100
M2101, E-経済原論, M/B, 14, 6, 21, A, 1, 2, 2014, 2100
M2102, E-ゲーム理論, M/B, 15, 1, 21, C, 1, 2, 2021, 2100
S2101, ミクロ経済学, S, 14, 6, 21, , 3, 2, , 
S2102, マクロ経済学, S, 14, 6, 21, , 3, 2, , 
S2103, ゲーム理論, S, 15, 1, 21, , 3, 2, , 
S2104, 計量経済学, S, 14, 6, 21, , 3, 2, , 
S2105, 現代資本主義論, S, 10, 6, 21, , 3, 2, , 
T2201, 経済史, T, 10, 5, 22, C, 3, 4, 2000, 2100
T2202, 日本経済史, T, 10, 6, 22, F, 5, 2, 2000, 2100
T2203, 世界経済史, T, 10, 6, 22, D, 6, 4, 2000, 2100
T2204, 社会思想史, T, 10, 6, 22, F, 7, 4, 2000, 2100
M2201, E-福澤諭吉, M/B, 15, 4, 22, F, 1, 2, 2014, 2100
M2202, E-ﾏﾙｸｽ経済学, M/B, 14, 6, 22, E, 1, 2, 2020, 2100
S2201, ﾏﾙｸｽ経済学, S, 10, 6, 22, , 3, 2, , 
S2202, ﾏﾙｸｽ経済学特殊, S, 10, 6, 22, , 3, 2, , 
S2203, 社会思想史, S, 15, 1, 22, , 3, 2, , 
S2204, 外国書講読, S, 11, 2, 22, , 3, 2, , 
S2205, 経済学史, S, 14, 6, 22, , 3, 2, , 
S2206, 経済史, S, 15, 2, 22, , 3, 2, , 
S2207, 日本経済史, S, 15, 2, 22, , 3, 2, , 
T2301, 経済政策学(E), T, 10, 5, 23, E, 5, 2, 2000, 2100
T2302, 社会保障論(E), T, 10, 6, 23, B, 6, 3, 2020, 2100
T2303, 財政論(E), T, 10, 5, 23, B, 3, 2, 2000, 2100
T2304, 金融論(E), T, 10, 5, 23, F, 3, 2, 2000, 2100
T2305, 社会政策(E), T, 10, 6, 23, B, 6, 2, 2000, 2100
T2306, 社会保障論(J), T, 12, 6, 23, B, 6, 3, 2020, 2100
T2307, 財政論(J), T, 12, 7, 23, B, 8, 2, 2000, 2100
T2308, 金融論(J), T, 12, 6, 23, F, 8, 2, 2000, 2100
T2309, 経済政策学(J), T, 12, 6, 23, E, 8, 2, 2000, 2100
T2310, 社会政策(J), T, 12, 6, 23, B, 8, 2, 2000, 2100
S2301, 財政論, S, 14, 6, 23, , 3, 2, , 
S2302, 金融論, S, 14, 6, 23, , 3, 2, , 
S2303, 社会政策, S, 15, 1, 23, , 3, 2, , 
S2304, 社会福祉論, S, 15, 1, 23, , 3, 2, , 
S2305, 経済政策, S, 14, 6, 23, , 3, 2, , 
S2306, 公共経済学, S, 14, 6, 23, , 3, 2, , 
T2401, 国際貿易論, T, 10, 6, 24, B, 7, 4, 2000, 2100
T2402, 地理学1(E), T, 10, 6, 24, C, 5, 2, 2000, 2100
T2403, 地理学2(E), T, 10, 6, 24, E, 6, 2, 2000, 2100
T2404, 人文地理学(E), T, 10, 6, 24, D, 3, 2, 2019, 2100
T2405, 人文地理学(J), T, 12, 7, 24, D, 3, 2, 2019, 2100
T2406, 地理学1(J), T, 12, 7, 24, C, 5, 2, 2019, 2100
T2407, 地理学2(J), T, 12, 7, 24, E, 6, 2, 2019, 2100
M2401, E-日本経済論, M/B, 14, 6, 24, C, 1, 2, 2022, 2100
S2401, 工業経済論, S, 10, 6, 24, , 3, 2, , 
S2402, 農業経済論, S, 10, 6, 24, , 3, 2, , 
S2403, 産業関係論, S, 14, 6, 24, , 3, 2, , 
S2404, 日本経済論, S, 10, 6, 24, , 3, 2, , 
S2405, 世界経済論, S, 14, 6, 24, , 3, 2, , 
S2406, 国際経済学, S, 14, 6, 24, , 3, 2, , 
S2407, 国際金融論, S, 14, 6, 24, , 3, 2, , 
S2408, 国際貿易論, S, 14, 6, 24, , 3, 2, , 
S2409, 経済地理, S, 15, 2, 24, , 3, 2, , 
T2501, 都市社会学(E), T, 10, 6, 25, E, 7, 2, 2000, 2100
T2502, 都市社会学(J), T, 12, 7, 25, E, 7, 2, 2000, 2100
S2501, 社会問題, S, 10, 6, 25, , 3, 2, , 
T2601, 経営学(E), T, 10, 5, 26, F, 5, 3, 2000, 2100
T2602, 経営分析論, T, 10, 6, 26, A, 6, 2, 2000, 2100
T2603, 経営数学, T, 10, 6, 26, F, 6, 2, 2000, 2100
T2604, 商業学, T, 10, 6, 26, D, 5, 2, 2000, 2100
T2605, 保険学, T, 10, 6, 26, A, 8, 3, 2000, 2100
T2606, 会計学(E), T, 10, 6, 26, E, 5, 3, 2000, 2100
T2607, 簿記論, T, 10, 6, 26, A, 3, 2, 2000, 2100
T2608, 会計監査, T, 10, 6, 26, F, 8, 2, 2000, 2100
T2609, 原価計算, T, 10, 6, 26, C, 6, 2, 2000, 2100
T2610, 経営学(J), T, 12, 6, 26, F, 8, 3, 2000, 2100
T2611, 会計学(J), T, 12, 6, 26, E, 7, 3, 2000, 2100
S2601, 経営学, S, 14, 6, 26, , 3, 2, , 
S2602, 管理会計論, S, 10, 6, 26, , 3, 2, , 
S2603, 原価計算論, S, 10, 6, 26, , 3, 2, , 
S2604, 会計学, S, 14, 6, 26, , 3, 2, , 
S2605, 保険学, S, 14, 6, 26, , 3, 2, , 
T2701, 憲法(E), T, 10, 6, 27, A, 5, 2, 2000, 2100
T2702, 民法, T, 10, 6, 27, D, 5, 4, 2000, 2100
T2703, 労働法(E), T, 10, 6, 27, A, 8, 2, 2000, 2100
T2704, 経済法(E), T, 10, 6, 27, C, 8, 2, 2000, 2100
T2705, 会社法(E), T, 10, 6, 27, A, 8, 4, 2000, 2100
T2706, 法学概論(E), T, 10, 6, 27, D, 3, 2, 2000, 2100
S2701, 法学概論, S, 11, 1, 27, , 3, 2, , 
T2901, 政治哲学, T, 12, 7, 29, D, 8, 2, 2000, 2100
T2902, 政治思想史, T, 12, 7, 29, C, 5, 4, 2000, 2100
T2903, 中世政治思想, T, 12, 7, 29, A, 5, 2, 2000, 2100
M2901, E-政治思想論, M/B, 15, 1, 29, F, 1, 2, 2020, 2100
S2901, 政治思想論, S, 15, 1, 29, , 3, 2, , 
T2A01, 政治学(J), T, 12, 8, 2A, C, 3, 6, 2000, 2100
T2A02, ｺﾐｭﾆｹｰｼｮﾝ論, T, 12, 7, 2A, D, 6, 4, 2000, 2100
M2A01, E-マスコミ論, M/B, 15, 1, 2A, A, 1, 2, 2022, 2100
S2A01, マスコミ論, S, 15, 1, 2A, , 3, 2, , 
S2A02, 政治課程論, S, 15, 1, 2A, , 3, 2, , 
S2A03, 政治理論, S, 14, 6, 2A, , 3, 2, , 
S2A04, 政治学特殊, S, 12, 6, 2A, , 3, 2, , 
T2B01, 日本政治史, T, 12, 7, 2B, B, 5, 2, 2000, 2100
T2B02, 日本外交史1, T, 12, 7, 2B, F, 7, 4, 2000, 2100
T2B03, 日本外交史2, T, 12, 7, 2B, E, 7, 4, 2000, 2100
S2B01, 日本政治史, S, 15, 2, 2B, , 3, 2, , 
S2B02, 日本政治論, S, 15, 1, 2B, , 3, 2, , 
T2C01, 米政治史, T, 12, 7, 2C, D, 6, 4, 2000, 2100
T2C02, ロシアの政治, T, 12, 7, 2C, F, 8, 2, 2000, 2100
T2C03, 現代中国論, T, 12, 7, 2C, E, 6, 2, 2000, 2100
M2C01, E-現代中東論, M/B, 13, 2, 2C, D, 1, 2, 2023, 2100
M2C02, E-ロシアの政治, M/B, 13, 2, 2C, C, 1, 2, 2023, 2100
S2C01, 現代中国論, S, 15, 2, 2C, , 3, 2, , 
S2C02, 現代中東論, S, 15, 2, 2C, , 3, 2, , 
S2C03, ﾗﾃﾝｱﾒﾘｶ, S, 15, 2, 2C, , 3, 2, , 
S2C04, 東南アジア, S, 13, 2, 2C, , 3, 2, , 
S2C05, ロシアの政治, S, 15, 2, 2C, , 3, 2, , 
S2C06, アメリカ政治, S, 15, 2, 2C, , 3, 2, , 
T2D01, 欧政治史, T, 12, 7, 2D, A, 8, 1, 2000, 2100
T2D02, 西洋外交史, T, 12, 7, 2D, B, 6, 4, 2000, 2100
S2D01, 国際政治論, S, 15, 1, 2D, , 3, 2, , 
T3101, 法哲学, T, 12, 9, 31, B, 7, 2, 2000, 2100
M3101, E-法哲学, M/B, 15, 1, 31, A, 1, 2, 2014, 2100
T3201, 西洋法制史, T, 12, 9, 32, D, 5, 4, 2020, 2100
T3202, 日本法制史, T, 12, 9, 32, E, 5, 4, 2020, 2100
S3201, 法制史, S, 15, 2, 32, , 3, 2, , 
S3202, 法制史特殊, S, 15, 2, 32, , 3, 2, , 
T3301, 憲法(J), T, 12, 14, 33, C, 3, 4, 2000, 2100
S3301, 憲法, S, 14, 6, 33, , 3, 2, , 
T3401, 行政法, T, 12, 9, 34, F, 7, 4, 2000, 2100
S3401, 医事法, S, 12, 6, 34, , 3, 2, , 
S3402, 行政法, S, 14, 6, 34, , 3, 2, , 
T3501, 刑法総論, T, 12, 12, 35, B, 6, 3, 2000, 2100
T3502, 刑法各論, T, 12, 9, 35, F, 5, 4, 2000, 2100
M3501, E-刑法, M/B, 14, 6, 35, B, 1, 2, 2021, 2100
S3501, 刑法, S, 14, 6, 35, , 3, 2, , 
T3601, 刑事訴訟法, T, 12, 9, 36, F, 8, 4, 2000, 2100
S3601, 刑事訴訟法, S, 12, 6, 36, , 3, 2, , 
T3701, 刑事政策学, T, 12, 9, 37, C, 6, 2, 2000, 2100
S3701, 刑事政策学, S, 12, 6, 37, , 3, 2, , 
T3801, 民法総論, T, 12, 13, 38, D, 3, 3, 2000, 2100
T3802, 物権法, T, 12, 10, 38, F, 5, 3, 2000, 2100
T3803, 債権総論, T, 12, 10, 38, A, 3, 3, 2000, 2100
T3804, 債権各論, T, 12, 9, 38, D, 3, 3, 2022, 2100
T3805, 親族法, T, 12, 9, 38, C, 7, 1, 2000, 2100
T3806, 相続法, T, 12, 9, 38, A, 7, 1, 2000, 2100
S3801, 民法, S, 14, 6, 38, , 3, 2, , 
T3901, 会社法(J), T, 12, 9, 39, A, 6, 4, 2000, 2100
T3902, 商法総則, T, 12, 9, 39, B, 5, 2, 2000, 2100
T3903, 保険法海商法, T, 12, 9, 39, C, 7, 3, 2000, 2100
T3904, 手形法, T, 12, 9, 39, D, 8, 2, 2000, 2100
S3901, 会社法, S, 14, 6, 39, , 3, 2, , 
T3A01, 民事訴訟法, T, 12, 9, 3A, D, 7, 4, 2000, 2100
T3A02, 倒産法, T, 12, 9, 3A, E, 7, 2, 2024, 2100
T3A03, 国際私法, T, 12, 9, 3A, A, 8, 2, 2000, 2100
M3A01, E-民事訴訟法, M/B, 12, 6, 3A, E, 1, 2, 2023, 2100
S3A01, 民事訴訟法, S, 12, 6, 3A, , 3, 2, , 
S3A02, 破産法, S, 14, 6, 3A, , 3, 2, , 
S3A03, 倒産法, S, 14, 6, 3A, , 3, 2, , 
T3B01, 労働法(J), T, 12, 9, 3B, A, 5, 2, 2000, 2100
T3B02, 経済法(J), T, 12, 9, 3B, C, 8, 2, 2000, 2100
S3B01, 経済法, S, 14, 6, 3B, , 3, 2, , 
T3C01, 国際法1, T, 12, 10, 3C, E, 6, 4, 2000, 2100
T3C02, 国際法2, T, 12, 10, 3C, E, 6, 2, 2000, 2100
M3C01, E-国際法, M/B, 14, 6, 3C, C, 1, 2, 2020, 2100
S3C01, 国際法, S, 14, 6, 3C, , 3, 2, , 
S3C02, 国際紛争処理法, S, 12, 6, 3C, , 3, 2, , 
T3D01, 英米法, T, 12, 9, 3D, C, 5, 2, 2000, 2100