No, 授業形態, 大分類, 中分類, 小分類, 科目名, 科目名(新を除く), 配本名, 期No, 群, 単位数, レポ提出
18790, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 哲学, 哲学, Ⅱ, 3, E, 4, WEB可
18791, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 新・論理学（Ａ）, 論理学（Ａ）, Ⅰ, 1, B, 4, WEB可
20411, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 文学, 文学, Ⅱ, 3, D, 4, WEB可
18797, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（日本史）, 歴史（日本史）, Ⅰ, 1, A, 2, 手書き
18798, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（東洋史）, 歴史（東洋史）, Ⅰ, 1, C, 2, WEB可
18799, テキスト, 総合教育科目, 3分野科目, 人文科学分野, 歴史（西洋史）, 歴史（西洋史）, Ⅰ, 1, E, 2, WEB可
18800, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 法学（憲法を含む）, 法学（憲法を含む）, Ⅰ, 1, A, 4, 郵送
18801, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 政治学（Ａ）, 政治学（Ａ）, Ⅰ, 1, E, 4, WEB可
18802, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 経済学, 経済学, Ⅰ, 1, A, 4, WEB可
18803, テキスト, 総合教育科目, 3分野科目, 社会科学分野, 社会学, 社会学, Ⅱ, 3, C, 4, WEB可
18804, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 統計学（Ａ）, 統計学（Ａ）, Ⅰ, 1, D, 4, 手書き
18805, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（基礎）, 数学（基礎）, Ⅱ, 3, D, 2, 手書き
18806, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（微分・積分）, 数学（微分・積分）, Ⅱ, 3, F, 2, 手書き
18807, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 数学（線形数学）, 数学（線形数学）, Ⅱ, 3, C, 2, 手書き
18808, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 地学, 地学, Ⅰ, 1, C, 4, 手書き
18809, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 物理学, 物理学, Ⅰ, 1, A, 4, WEB可
18810, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 化学, 化学, Ⅰ, 1, A, 4, WEB可
18811, テキスト, 総合教育科目, 3分野科目, 自然科学分野, 生物学, 生物学, Ⅰ, 1, A, 4, WEB可
18812, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅰ, 英語Ⅰ, Ⅰ, 1, D, 2, 郵送
18813, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅱ, 英語Ⅱ, Ⅰ, 1, B, 2, 郵送
18814, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅲ, 英語Ⅲ, Ⅱ, 3, F, 2, WEB可
18815, テキスト, 総合教育科目, 外国語科目, 英語, 英語Ⅶ, 英語Ⅶ, Ⅱ, 3, E, 2, WEB可
18816, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第一部, ドイツ語第一部, Ⅰ, 1, B, 2, 手書き
18817, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第二部, ドイツ語第二部, Ⅰ, 1, D, 2, WEB可
18818, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第三部, ドイツ語第三部, Ⅱ, 3, F, 2, WEB可
18819, テキスト, 総合教育科目, 外国語科目, ドイツ語, ドイツ語第四部, ドイツ語第四部, Ⅱ, 3, E, 2, WEB可
18820, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第一部, フランス語第一部, Ⅰ, 1, B, 2, 手書き
18821, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第二部, フランス語第二部, Ⅰ, 1, D, 2, WEB可
18822, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第三部, フランス語第三部, Ⅱ, 3, F, 2, WEB可
18823, テキスト, 総合教育科目, 外国語科目, フランス語, フランス語第四部, フランス語第四部, Ⅱ, 3, E, 2, WEB可
18824, テキスト, 総合教育科目, 保健体育科目, , 新・保健衛生, 保健衛生, Ⅰ, 1, F, 2, 手書き
18825, テキスト, 総合教育科目, 保健体育科目, , 体育理論, 体育理論, Ⅰ, 1, C, 2, WEB可
18826, テキスト, 文学部専門教育科目, 第1類, , 西洋哲学史Ⅰ, 西洋哲学史Ⅰ, Ⅲ①, 5, B, 4, WEB可
18827, テキスト, 文学部専門教育科目, 第1類, , 西洋哲学史Ⅱ, 西洋哲学史Ⅱ, Ⅳ②, 8, F, 3, WEB可
18828, テキスト, 文学部専門教育科目, 第1類, , 論理学（Ｌ）, 論理学（Ｌ）, Ⅲ②, 6, C, 2, WEB可
18829, テキスト, 文学部専門教育科目, 第1類, , 科学哲学, 科学哲学, Ⅲ①, 5, C, 4, WEB可
18830, テキスト, 文学部専門教育科目, 第1類, , 倫理学, 倫理学, Ⅲ②, 6, A, 2, WEB可
18831, テキスト, 文学部専門教育科目, 第1類, , 現代倫理学の諸問題, 現代倫理学の諸問題, Ⅳ①, 7, D, 4, WEB可
18832, テキスト, 文学部専門教育科目, 第1類, , 日本美術史Ⅰ, 日本美術史Ⅰ, Ⅳ②, 8, C, 2, WEB可
18833, テキスト, 文学部専門教育科目, 第1類, , メディア社会心理学, メディア社会心理学, Ⅲ②, 6, A, 2, WEB可
18834, テキスト, 文学部専門教育科目, 第1類, , 社会心理学, 社会心理学, Ⅳ②, 8, F, 2, WEB可
18835, テキスト, 文学部専門教育科目, 第1類, , 都市社会学（Ｌ）, 都市社会学（Ｌ）, Ⅳ①, 7, E, 2, WEB可
18836, テキスト, 文学部専門教育科目, 第1類, , 心理学Ａ, 心理学Ａ, Ⅲ①, 5, E, 2, WEB可
18837, テキスト, 文学部専門教育科目, 第1類, , 心理学Ｂ, 心理学Ｂ, Ⅲ①, 5, B, 2, WEB可
18838, テキスト, 文学部専門教育科目, 第1類, , 教育学, 教育学, Ⅲ①, 5, C, 3, WEB可
18839, テキスト, 文学部専門教育科目, 第1類, , 教育心理学, 教育心理学, Ⅳ①, 7, E, 2, WEB可
18840, テキスト, 文学部専門教育科目, 第1類, , 教育史, 教育史, Ⅳ①, 7, D, 4, WEB可
18841, テキスト, 文学部専門教育科目, 第1類, , 教育思想史, 教育思想史, Ⅲ②, 6, A, 4, WEB可
18842, テキスト, 文学部専門教育科目, 第1類, , 教育社会学, 教育社会学, Ⅳ①, 7, F, 2, WEB可
18843, テキスト, 文学部専門教育科目, 第1類, , 心理・教育統計学, 心理・教育統計学, Ⅳ②, 8, B, 3, WEB可
18844, テキスト, 文学部専門教育科目, 第1類, , 法学概論（L), 法学概論（L), Ⅱ, 3, D, 2, 郵送
18845, テキスト, 文学部専門教育科目, 第1類, , 社会調査, 社会調査, Ⅲ②, 6, A, 2, WEB可
18846, テキスト, 文学部専門教育科目, 第2類, , 史学概論, 史学概論, Ⅱ, 3, D, 2, WEB可
18847, テキスト, 文学部専門教育科目, 第2類, , 日本史概論, 日本史概論, Ⅱ, 3, C, 2, 手書き
18848, テキスト, 文学部専門教育科目, 第2類, , 日本史概説Ⅰ, 日本史概説Ⅰ, Ⅱ, 3, E, 2, 手書き
18849, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅰ, 日本史特殊Ⅰ, Ⅳ②, 8, F, 2, WEB可
18850, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅱ, 日本史特殊Ⅱ, Ⅳ②, 8, F, 2, 郵送
18851, テキスト, 文学部専門教育科目, 第2類, , 日本史特殊Ⅳ, 日本史特殊Ⅳ, Ⅳ②, 8, C, 2, WEB可
18852, テキスト, 文学部専門教育科目, 第2類, , 古文書学, 古文書学, Ⅳ②, 8, C, 2, 手書き
18853, テキスト, 文学部専門教育科目, 第2類, , 世界史概論, 世界史概論, Ⅲ①, 5, C, 2, 郵送
18854, テキスト, 文学部専門教育科目, 第2類, , 東洋史概説Ⅰ, 東洋史概説Ⅰ, Ⅱ, 3, A, 2, WEB可
18855, テキスト, 文学部専門教育科目, 第2類, , 東洋史概説Ⅱ, 東洋史概説Ⅱ, Ⅲ②, 6, E, 2, 郵送
18856, テキスト, 文学部専門教育科目, 第2類, , 東洋史特殊, 東洋史特殊, Ⅳ①, 7, B, 2, WEB可
18857, テキスト, 文学部専門教育科目, 第2類, , 西洋史概説Ⅰ, 西洋史概説Ⅰ, Ⅱ, 3, A, 2, WEB可
18858, テキスト, 文学部専門教育科目, 第2類, , 西洋史概説Ⅱ, 西洋史概説Ⅱ, Ⅲ①, 5, E, 2, 郵送
18859, テキスト, 文学部専門教育科目, 第2類, , 西洋史特殊Ⅰ, 西洋史特殊Ⅰ, Ⅳ①, 7, B, 2, 郵送
18860, テキスト, 文学部専門教育科目, 第2類, , 西洋史特殊Ⅱ, 西洋史特殊Ⅱ, Ⅱ, 3, D, 2, WEB可
18861, テキスト, 文学部専門教育科目, 第2類, , 西洋史特殊Ⅲ, 西洋史特殊Ⅲ, Ⅲ②, 6, A, 2, WEB可
18862, テキスト, 文学部専門教育科目, 第2類, , オリエント考古学, オリエント考古学, Ⅳ①, 7, B, 2, 郵送
18863, テキスト, 文学部専門教育科目, 第2類, , 考古学, 考古学, Ⅳ①, 7, C, 2, WEB可
18864, テキスト, 文学部専門教育科目, 第2類, , 地理学Ⅰ（Ｌ）, 地理学Ⅰ（Ｌ）, Ⅲ①, 5, C, 2, WEB可
18865, テキスト, 文学部専門教育科目, 第2類, , 地理学Ⅱ（Ｌ）, 地理学Ⅱ（Ｌ）, Ⅲ①, 5, E, 2, WEB可
18866, テキスト, 文学部専門教育科目, 第2類, , 人文地理学（Ｌ）, 人文地理学（Ｌ）, Ⅱ, 3, D, 2, WEB可
18867, テキスト, 文学部専門教育科目, 第3類, , 日本語学, 日本語学, Ⅲ①, 5, D, 2, WEB可
18868, テキスト, 文学部専門教育科目, 第3類, , 国語学各論, 国語学各論, Ⅲ②, 6, C, 1, WEB可
18869, テキスト, 文学部専門教育科目, 第3類, , 国文学, 国文学, Ⅱ, 3, C, 4, WEB可
18870, テキスト, 文学部専門教育科目, 第3類, , 国文学史, 国文学史, Ⅲ②, 6, A, 3, WEB可
18871, テキスト, 文学部専門教育科目, 第3類, , 近代日本文学, 近代日本文学, Ⅳ②, 8, B, 3, WEB可
18872, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅰ, 国文学古典研究Ⅰ, Ⅳ②, 8, D, 1, 手書き
18873, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅱ－１, 国文学古典研究Ⅱ－１, Ⅳ①, 7, E, 1, WEB可
18874, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅱ－２, 国文学古典研究Ⅱ－２, Ⅳ①, 7, F, 1, WEB可
18875, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅲ, 国文学古典研究Ⅲ, Ⅳ①, 7, A, 1, WEB可
18876, テキスト, 文学部専門教育科目, 第3類, , 国文学古典研究Ⅳ, 国文学古典研究Ⅳ, Ⅲ①, 5, E, 1, WEB可
18877, テキスト, 文学部専門教育科目, 第3類, , 国語国文学古典研究Ⅴ, 国語国文学古典研究Ⅴ, Ⅲ①, 5, D, 2, WEB可
18878, テキスト, 文学部専門教育科目, 第3類, , 書道, 書道, Ⅳ②, 8, D, 2, 手書き
18879, テキスト, 文学部専門教育科目, 第3類, , 中国文学史, 中国文学史, Ⅳ①, 7, C, 2, WEB可
18880, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅰ, 漢文学Ⅰ, Ⅳ②, 8, F, 2, WEB可
18881, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅱ, 漢文学Ⅱ, Ⅳ②, 8, B, 1, WEB可
18882, テキスト, 文学部専門教育科目, 第3類, , 漢文学Ⅲ, 漢文学Ⅲ, Ⅳ②, 8, D, 1, WEB可
18883, テキスト, 文学部専門教育科目, 第3類, , 現代英語学, 現代英語学, Ⅳ②, 8, A, 3, WEB可
18884, テキスト, 文学部専門教育科目, 第3類, , 英語学概論, 英語学概論, Ⅲ①, 5, B, 3, WEB可
18885, テキスト, 文学部専門教育科目, 第3類, , 英語音声学, 英語音声学, Ⅳ②, 8, C, 2, WEB可
18886, テキスト, 文学部専門教育科目, 第3類, , 英語史, 英語史, Ⅳ②, 8, B, 2, WEB可
18887, テキスト, 文学部専門教育科目, 第3類, , ACADEMIC WRITING Ⅰ, ACADEMIC WRITING Ⅰ, Ⅲ①, 5, A, 2, WEB可
18888, テキスト, 文学部専門教育科目, 第3類, , ACADEMIC WRITING Ⅱ, ACADEMIC WRITING Ⅱ, Ⅳ②, 8, F, 4, WEB可
18889, テキスト, 文学部専門教育科目, 第3類, , 現代英文学, 現代英文学, Ⅲ②, 6, C, 2, WEB可
18890, テキスト, 文学部専門教育科目, 第3類, , 英文学特殊, 英文学特殊, Ⅲ①, 5, E, 2, WEB可
18891, テキスト, 文学部専門教育科目, 第3類, , 中世英文学史, 中世英文学史, Ⅲ①, 5, E, 2, WEB可
18892, テキスト, 文学部専門教育科目, 第3類, , 近世英文学史, 近世英文学史, Ⅱ, 3, F, 2, WEB可
18893, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅰ, イギリス文学研究Ⅰ, Ⅲ①, 5, A, 2, WEB可
18894, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅱ, イギリス文学研究Ⅱ, Ⅳ②, 8, E, 2, WEB可
18895, テキスト, 文学部専門教育科目, 第3類, , イギリス文学研究Ⅲ, イギリス文学研究Ⅲ, Ⅳ①, 7, A, 2, WEB可
18896, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学, アメリカ文学, Ⅲ②, 6, D, 2, WEB可
18897, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学研究Ⅰ, アメリカ文学研究Ⅰ, Ⅳ①, 7, D, 2, WEB可
18898, テキスト, 文学部専門教育科目, 第3類, , アメリカ文学研究Ⅱ, アメリカ文学研究Ⅱ, Ⅳ①, 7, F, 2, WEB可
18899, テキスト, 文学部専門教育科目, 第3類, , シェイクスピア研究, シェイクスピア研究, Ⅳ①, 7, C, 2, WEB可
18901, テキスト, 文学部専門教育科目, 第3類, , 近代ドイツ小説, 近代ドイツ小説, Ⅲ②, 6, F, 2, WEB可
18900, テキスト, 文学部専門教育科目, 第3類, , 日米比較文化論（総論）, 日米比較文化論（総論）, Ⅲ②, 6, D, 2, WEB可
18902, テキスト, 文学部専門教育科目, 第3類, , 近代ドイツ演劇, 近代ドイツ演劇, Ⅳ①, 7, D, 2, WEB可
18903, テキスト, 文学部専門教育科目, 第3類, , フランス文学概説, フランス文学概説, Ⅱ, 3, A, 3, WEB可
18904, テキスト, 文学部専門教育科目, 第3類, , フランス文学史Ⅰ, フランス文学史Ⅰ, Ⅱ, 3, B, 4, WEB可
18905, テキスト, 文学部専門教育科目, 第3類, , フランス文学史Ⅱ, フランス文学史Ⅱ, Ⅲ①, 5, F, 4, WEB可
